"pos","set","Pair","var","values"
"up","b) complete dataset",50,"Richness",-1.58783946212336
"up","b) complete dataset",50,"Evenness",-1.17444171191121
"up","b) complete dataset",50,"Dispersion",-2.49729593889163
"up","b) complete dataset",50,"Redundancy",2.63338035028798
"down","b) complete dataset",51,"Richness",-0.235832159461317
"down","b) complete dataset",51,"Evenness",1.67285749638663
"down","b) complete dataset",51,"Dispersion",0.0769057385086244
"down","b) complete dataset",51,"Redundancy",0.000284709789814121
"up","b) complete dataset",51,"Richness",-1.41819618342948
"up","b) complete dataset",51,"Evenness",0.263030891053212
"up","b) complete dataset",51,"Dispersion",0.368670484128297
"up","b) complete dataset",51,"Redundancy",-0.372954556675833
"down","b) complete dataset",52,"Richness",-0.162535537364488
"down","b) complete dataset",52,"Evenness",-1.97652164264689
"down","b) complete dataset",52,"Dispersion",-0.632478994261223
"down","b) complete dataset",52,"Redundancy",1.03679844343757
"up","b) complete dataset",52,"Richness",-0.600214834023419
"up","b) complete dataset",52,"Evenness",-1.28395195340821
"up","b) complete dataset",52,"Dispersion",-1.75344310926985
"up","b) complete dataset",52,"Redundancy",2.28166164649005
"down","b) complete dataset",54,"Richness",-0.105769444137633
"down","b) complete dataset",54,"Evenness",1.23265234343349
"down","b) complete dataset",54,"Dispersion",-1.39389393148864
"down","b) complete dataset",54,"Redundancy",1.37534417378001
"up","b) complete dataset",54,"Richness",-0.096826189640715
"up","b) complete dataset",54,"Evenness",-2.03785437269097
"up","b) complete dataset",54,"Dispersion",-0.854730457587161
"up","b) complete dataset",54,"Redundancy",0.788273712182765
"down","b) complete dataset",55,"Richness",-2.09854186542039
"down","b) complete dataset",55,"Evenness",-1.23799539259208
"down","b) complete dataset",55,"Dispersion",-2.6786892950085
"down","b) complete dataset",55,"Redundancy",3.30804017682015
"up","b) complete dataset",55,"Richness",-0.369124956741908
"up","b) complete dataset",55,"Evenness",1.28542187709267
"up","b) complete dataset",55,"Dispersion",-1.43313862351243
"up","b) complete dataset",55,"Redundancy",1.58302961851807
"down","b) complete dataset",57,"Richness",-1.76719428792276
"down","b) complete dataset",57,"Evenness",-2.84186851928945
"down","b) complete dataset",57,"Dispersion",-0.970646197718133
"down","b) complete dataset",57,"Redundancy",1.07797956261695
"up","b) complete dataset",57,"Richness",-0.821590211374286
"up","b) complete dataset",57,"Evenness",-0.224194200277238
"up","b) complete dataset",57,"Dispersion",-2.84769803522517
"up","b) complete dataset",57,"Redundancy",3.5510538778014
"down","b) complete dataset",58,"Richness",-1.93013118965264
"down","b) complete dataset",58,"Evenness",1.77272758321435
"down","b) complete dataset",58,"Dispersion",0.810747150247761
"down","b) complete dataset",58,"Redundancy",-0.826380745302489
"up","b) complete dataset",58,"Richness",-1.630735859537
"up","b) complete dataset",58,"Evenness",0.473829491978678
"up","b) complete dataset",58,"Dispersion",0.941973354870875
"up","b) complete dataset",58,"Redundancy",-0.88363903595245
"down","b) complete dataset",60,"Richness",-0.875227802392933
"down","b) complete dataset",60,"Evenness",0.351224944621089
"down","b) complete dataset",60,"Dispersion",-0.870913142208719
